"ISO2","Continent","time","GDP","logGDP","cumGDP","lagGDP"
"CD","AF",2009,657.4352715977,6.48834631296653,4316.2047180889,657.3025456127
"CD","AF",2010,684.8571420973,6.52921026482953,5001.0618601862,657.4352715977
"CD","AF",2011,712.0094241618,6.56809114750668,5713.071284348,684.8571420973
"CD","AF",2012,741.8921092589,6.60920382728355,6454.9633936069,712.0094241618
"CF","AF",2003,681.7519694933,6.52466591060059,681.7519694933,NA
"CF","AF",2004,710.7526179147,6.5663244338373,1392.504587408,681.7519694933
"CF","AF",2005,705.0203674295,6.55822669236588,2097.5249548375,710.7526179147
"CF","AF",2006,745.2077097203,6.61366298451436,2842.7326645578,705.0203674295
"CF","AF",2007,791.0653022946,6.67338052099038,3633.7979668524,745.2077097203
"CF","AF",2008,806.4958470581,6.69269874821301,4440.2938139105,791.0653022946
"CF","AF",2009,861.6262520247,6.75882159430176,5301.9200659352,806.4958470581
"CF","AF",2010,901.1249492755,6.80364392643455,6203.0450152107,861.6262520247
"CF","AF",2011,912.754028902,6.81646643455175,7115.7990441127,901.1249492755
"CF","AF",2012,931.4906894145,6.83678619473082,8047.2897335272,912.754028902
"CG","AF",2003,4702.4211091178,8.45583278466398,4702.4211091178,NA
"CG","AF",2004,4745.3480631774,8.46492006202657,9447.7691722952,4702.4211091178
"CG","AF",2005,4977.7179701779,8.51272682607506,14425.4871424731,4745.3480631774
"CG","AF",2006,5137.6249113325,8.54434617215028,19563.1120538056,4977.7179701779
"CG","AF",2007,4905.4004495009,8.49809200974773,24468.5125033065,5137.6249113325
"CG","AF",2008,5021.6129355347,8.52150646297872,29490.1254388412,4905.4004495009
"CG","AF",2009,5236.3694664735,8.56338368727403,34726.4949053147,5021.6129355347
"CG","AF",2010,5533.1928937049,8.61852030469869,40259.6877990196,5236.3694664735
"CG","AF",2011,5568.5528167871,8.62489048170998,45828.2406158067,5533.1928937049
"CG","AF",2012,5631.3012936008,8.6360958300567,51459.5419094075,5568.5528167871
"CH","EU",2003,48536.7923999905,10.7900773955147,48536.7923999905,NA
"CH","EU",2004,49574.7049228671,10.8112360012345,98111.4973228576,48536.7923999905
"CH","EU",2005,50754.7564301066,10.8347606152731,148866.253752964,49574.7049228671
"CH","EU",2006,52461.1761887522,10.8678286738472,201327.429941716,50754.7564301066
"CH","EU",2007,54147.174450168,10.8994610710154,255474.604391884,52461.1761887522
"CH","EU",2008,54681.0159401997,10.9092718704056,310155.620332084,54147.174450168
"CH","EU",2009,52851.9984169901,10.8752508035824,363007.618749074,54681.0159401997
"CH","EU",2010,53849.3463243621,10.8939455436875,416856.965073436,52851.9984169901
"CH","EU",2011,54214.9188586684,10.9007114052468,471071.883932105,53849.3463243621
"CH","EU",2012,54237.2863678571,10.9011238912716,525309.170299962,54214.9188586684
"CI","AF",2003,2822.0362000379,7.94521396012563,2822.0362000379,NA
"CI","AF",2004,2833.3631975729,7.9492196940746,5655.3993976108,2822.0362000379
"CI","AF",2005,2827.769156816,7.94724339596763,8483.1685544268,2833.3631975729
"CI","AF",2006,2827.0074814725,7.94697400412536,11310.1760358993,2827.769156816
"CI","AF",2007,2830.9614286747,7.94837166038987,14141.137464574,2827.0074814725
"CI","AF",2008,2853.5087833369,7.95630466806451,16994.6462479109,2830.9614286747
"CI","AF",2009,2892.2306933097,7.96978334956809,19886.8769412206,2853.5087833369
"CI","AF",2010,2892.2401206337,7.96978660909668,22779.1170618543,2892.2306933097
"CI","AF",2011,2706.3967361388,7.90337341148691,25485.5137979931,2892.2401206337
"CI","AF",2012,2927.3724823925,7.98186053598944,28412.8862803856,2706.3967361388
"CL","SA",2003,15508.0388105724,9.64911380140391,15508.0388105724,NA
"CL","SA",2004,16269.3568497454,9.69703866960664,31777.3956603178,15508.0388105724
"CL","SA",2005,16995.6613378018,9.74071337504193,48773.0569981196,16269.3568497454
"CL","SA",2006,17565.0063403531,9.77366392566503,66338.0633384727,16995.6613378018
"CL","SA",2007,18289.3691860143,9.81407525123378,84627.432524487,17565.0063403531
"CL","SA",2008,18709.3797778795,9.83678026948723,103336.812302366,18289.3691860143
"CL","SA",2009,18340.5280324991,9.81686853669911,121677.340334866,18709.3797778795
"CL","SA",2010,19217.623592386,9.86358303244424,140894.963927252,18340.5280324991
"CL","SA",2011,20154.4226207491,9.91117902819224,161049.386548001,19217.623592386
"CL","SA",2012,21048.927954527,9.95460490928759,182098.314502528,20154.4226207491
"CM","AF",2003,2513.9518269698,7.82961122706119,2513.9518269698,NA
"CM","AF",2004,2540.3924840004,7.8400738693354,5054.3443109702,2513.9518269698
"CM","AF",2005,2532.4361437183,7.83693702108364,7586.7804546885,2540.3924840004
"CM","AF",2006,2547.4792470595,7.842859618669,10134.259701748,2532.4361437183
"CM","AF",2007,2563.5134084675,7.84913402174158,12697.7731102155,2547.4792470595
"CM","AF",2008,2570.5041317112,7.85185731885128,15268.2772419267,2563.5134084675
"CM","AF",2009,2553.8346309129,7.84535128544093,17822.1118728396,2570.5041317112
"CM","AF",2010,2570.7653135017,7.85195892091416,20392.8771863413,2553.8346309129
"CM","AF",2011,2609.8975143177,7.86706623300085,23002.774700659,2570.7653135017
"CM","AF",2012,2661.3082027951,7.88657308644109,25664.0829034541,2609.8975143177
"CN","AS",2003,4597.605913554,8.433290993419,4597.605913554,NA
"CN","AS",2004,5031.30481689,8.52343463639001,9628.910730444,4597.605913554
"CN","AS",2005,5567.5067874207,8.62470261824541,15196.4175178647,5031.30481689
"CN","AS",2006,6238.3429500299,8.73846987321824,21434.7604678946,5567.5067874207
"CN","AS",2007,7084.7433060176,8.86569892084283,28519.5037739122,6238.3429500299
"CN","AS",2008,7727.6377958736,8.95255850572999,36247.1415697858,7084.7433060176
"CN","AS",2009,8397.8045463797,9.03572558714378,44644.9461161655,7727.6377958736
"CN","AS",2010,9230.435162531,9.13026147292194,53875.3812786965,8397.8045463797
"CN","AS",2011,10040.6298710262,9.21439512743588,63916.0111497227,9230.435162531
"CN","AS",2012,10756.4577107266,9.2832615704743,74672.4688604493,10040.6298710262
"CO","SA",2003,8682.9445211049,9.06911598067076,8682.9445211049,NA
"CO","SA",2004,9005.0202880391,9.10553751058243,17687.964809144,8682.9445211049
